Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.23,29-Apr-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.24,30-Apr-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.29,02-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.19,03-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.05,06-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.79,07-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.91,08-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.59,09-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.72,10-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.71,13-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.94,14-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.99,15-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.1,16-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.26,17-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.39,21-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.34,22-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.39,23-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.46,24-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.49,27-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.38,28-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.33,29-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.16,30-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.27,31-May-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.83,03-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.38,04-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,15.85,05-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.32,06-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.62,07-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.76,10-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,16.92,11-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.02,12-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.14,13-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.28,14-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.43,18-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.26,19-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.32,20-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.32,21-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.32,24-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.29,25-Jun-24
151443,Bank of India Multi Cap Fund Direct Plan - Growth,INF761K01FR0,N/A,17.42,26-Jun-24
