Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.73,26-Dec-22
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.78,27-Dec-22
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.78,28-Dec-22
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.8,29-Dec-22
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.81,30-Dec-22
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.85,02-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.86,03-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.8,04-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.78,05-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.71,06-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.79,09-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.73,10-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.72,11-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.73,12-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.74,13-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.71,16-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.73,17-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.75,18-Jan-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.74,19-Jan-23
