Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.33,29-Apr-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.38,30-Apr-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.45,02-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.37,03-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.37,06-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.14,07-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.18,08-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,14.94,09-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.04,10-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.05,13-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.19,14-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.31,15-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.49,16-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.72,17-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.83,21-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.84,22-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.02,23-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16,24-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.04,27-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.88,28-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.84,29-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.69,30-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.82,31-May-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.33,03-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.27,04-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,15.69,05-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.03,06-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.35,07-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.42,10-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.51,11-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.6,12-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.77,13-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.95,14-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.09,18-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.96,19-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.99,20-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,16.97,21-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.09,24-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.13,25-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.11,26-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.16,27-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.19,28-Jun-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.36,01-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.36,02-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.48,03-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.61,04-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.7,05-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.59,08-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.68,09-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.58,10-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.59,11-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.61,12-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.66,15-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.7,16-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.62,18-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.25,19-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.34,22-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.29,23-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.39,24-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.41,25-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.72,26-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.88,29-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.94,30-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.99,31-Jul-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.95,01-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.74,02-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.18,05-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.11,06-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.45,07-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.38,08-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.55,09-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.62,12-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.54,13-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.58,14-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,17.94,16-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.03,19-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.13,20-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.18,21-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.25,22-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.36,23-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.46,26-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.45,27-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.5,28-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.47,29-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.58,30-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.58,31-Aug-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.52,02-Sep-24
149383,Axis Multicap Fund - Direct Growth,INF846K013E0,N/A,18.61,03-Sep-24
