Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.02,03-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.021,04-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.029,05-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.056,06-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.064,07-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.031,10-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.023,11-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.015,12-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,9.997,13-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.035,17-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.111,18-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.162,19-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.219,20-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.299,21-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.389,24-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.355,25-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.291,26-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.368,27-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.385,28-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.385,31-Mar-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.309,01-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.356,02-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.393,03-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.214,04-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,9.915,07-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.082,08-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.049,09-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.245,11-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.45,15-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.514,16-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.609,17-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.728,21-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.782,22-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.78,23-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.796,24-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.637,25-Apr-25
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,INF0QA701AV7,N/A,10.744,28-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.02,03-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.021,04-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.029,05-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.056,06-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.064,07-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.031,10-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.023,11-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.015,12-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,9.997,13-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.035,17-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.111,18-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.162,19-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.219,20-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.299,21-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.389,24-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.355,25-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.291,26-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.368,27-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.385,28-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.385,31-Mar-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.309,01-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.356,02-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.393,03-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.214,04-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,9.915,07-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.082,08-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.049,09-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.245,11-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.45,15-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.514,16-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.609,17-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.728,21-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.782,22-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.78,23-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.796,24-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.637,25-Apr-25
153306,BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW,INF0QA701AW5,INF0QA701AX3,10.744,28-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.018,03-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.018,04-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.025,05-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.052,06-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.06,07-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.026,10-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.017,11-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.008,12-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,9.99,13-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.026,17-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.101,18-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.152,19-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.209,20-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.288,21-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.377,24-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.342,25-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.278,26-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.354,27-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.371,28-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.369,31-Mar-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.293,01-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.34,02-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.376,03-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.197,04-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,9.897,07-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.063,08-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.029,09-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.224,11-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.427,15-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.49,16-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.584,17-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.701,21-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.755,22-Apr-25
153307,BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH,INF0QA701AS3,N/A,10.752,23-Apr-25
