Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.1458,30-Oct-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.1217,31-Oct-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.128,01-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.233,02-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.3354,03-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.4366,06-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.4706,07-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.5136,08-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.5113,09-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.5205,10-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.5804,13-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.7042,15-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.7711,16-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.7737,17-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.7908,20-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.8078,21-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.7863,22-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.776,23-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.788,24-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.8104,28-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,10.9144,29-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.0332,30-Nov-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.1352,01-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.2816,04-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.3175,05-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.3223,06-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.3285,07-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.3336,08-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.4073,11-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.376,12-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.4623,13-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.6165,14-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.72,15-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.7165,18-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.7038,19-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.4554,20-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.5459,21-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.6709,22-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.7065,26-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.8072,27-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.8358,28-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.8603,29-Dec-23
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.8628,01-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.7971,02-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.795,03-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.9302,04-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.9941,05-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.913,08-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.9786,09-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.0002,10-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.0546,11-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.1524,12-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.1872,15-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.1913,16-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.0513,17-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.9974,18-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.1022,19-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,11.8837,23-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.0556,24-Jan-24
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,INF754K01SD8,N/A,12.0474,25-Jan-24
