Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,390.35,29-Apr-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,386.61,30-Apr-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,387.86,03-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,385.7,04-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,387.9,05-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,390.48,06-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,391.78,07-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,395.67,10-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,397.58,11-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,395.3,12-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,393,14-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,400.36,17-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,406.42,18-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,407.15,19-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,406.73,20-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,413.75,21-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,417.16,24-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,417.32,25-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,419.83,26-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,420.48,27-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,418.29,28-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,421.19,31-May-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,418.89,01-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,422.62,02-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,426.53,03-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,426.96,04-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,431.1,07-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,431.12,08-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,426.9,09-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,431.25,10-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,430.71,11-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,430.63,14-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,433.19,15-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,431.13,16-Jun-21
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,INF109K014O9,N/A,427.49,17-Jun-21
