Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0213,09-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0228,10-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0244,11-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.029,14-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0306,15-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0321,16-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0336,17-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0382,20-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0398,21-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0413,22-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0429,23-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0444,24-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.046,25-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0491,27-Apr-25
153436,Zerodha Overnight Fund - Direct Plan - Growth Option,INF0R8F01075,N/A,10.0506,28-Apr-25
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.0117,10-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.0501,13-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.1501,15-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2088,16-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2229,17-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2132,20-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2341,21-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2477,22-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2529,23-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.2629,24-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.3148,28-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.3997,29-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.4572,30-Nov-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.539,01-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.7108,04-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.7796,05-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.8193,06-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.8498,07-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.8464,08-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.8975,11-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.8477,12-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.9043,13-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.0331,14-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.1038,15-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.1182,18-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.1058,19-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.8448,20-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,10.9572,21-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.0281,22-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.0863,26-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.1582,27-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.2143,28-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.2579,29-Dec-23
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.2936,01-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.267,02-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.2566,03-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3818,04-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.4103,05-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3084,08-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.33,09-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3621,10-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.4012,11-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.4774,12-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.5538,15-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.5185,16-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3454,17-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3158,18-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.4515,19-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.1925,23-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3498,24-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.3023,25-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.4828,29-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.4125,30-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.5567,31-Jan-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.5199,01-Feb-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.5906,02-Feb-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.5682,05-Feb-24
152157,Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option,INF0R8F01026,N/A,11.6858,06-Feb-24
